;Kingdom;Phylum;Class;Order;Family;Genus;Species
3655;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Terrimesophilobacter;s__mesophilus
3660;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;s__pekingensis
3661;k__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;s__soli
3663;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter;s__glycolicus
3664;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Terrisporobacter;s__mayombei
3678;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Thermoactinomyces;s__daqus
3681;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Thermoactinomyces;s__vulgaris
3682;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Thermobacillus;s__composti
3691;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__brevis
3692;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__carbonis
3693;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__fusca
3695;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__koreensis
3709;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Thiopseudomonas;s__alkaliphila
3713;k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Peptostreptococcaceae;g__Tissierella;s__creatinini
3718;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Streptosporangiales;f__Treboniaceae;g__Trebonia;s__kvetii
3723;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia;s__dinghuensis
3724;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia;s__fusca
3725;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia;s__soli
3730;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Tuberibacillus;s__calidus
3731;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__algifaecis
3732;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__amylolyticus
3733;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__avium
3734;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__flagellatus
3735;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__ginsengisoli
3736;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__lipolyticus
3739;k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Tundrisphaera;s__lichenicola
3740;k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__bilis
3741;k__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Turicibacteraceae;g__Turicibacter;s__sanguinis
3747;k__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Urbifossiella;s__limnaea
3749;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Ureibacillus;s__composti
3750;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Ureibacillus;s__defluvii
3751;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Ureibacillus;s__manganicus
3753;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Ureibacillus;s__suwonensis
3755;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Ureibacillus;s__thermophilus
3756;k__Bacteria;p__Bacillota;c__Bacilli;o__Caryophanales;f__Caryophanaceae;g__Ureibacillus;s__thermosphaericus
3760;k__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Vampirovibrionales;f__;g__Vampirovibrio;s__chlorellavorus
3761;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Variibacter;s__gotjawalensis
3766;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__ginsengisoli
3769;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Variovorax;s__soli
3772;k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Verrucomicrobium;s__spinosum
3775;k__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacter;s__silvestris
3782;k__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Archangiaceae;g__Vitiosangium;s__subalbum
3783;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Vitreimonas;s__flagellata
3787;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Weizmannia;s__coagulans
3788;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Weizmannia;s__ginsengihumi
3792;k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__campestris
3798;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Xinfangfangia;s__pollutisoli
3806;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Devosiaceae;g__Youhaiella;s__tibetensis
