;Kingdom;Phylum;Class;Order;Family;Genus;Species
2347;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__hassiacum
2354;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__naphthalenivorans
2361;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__pokkalii
2364;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__silvae
2365;k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteriaceae;g__Novosphingobium;s__soli
2368;k__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__riparius
2369;k__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__savannae
2382;k__Bacteria;p__Pseudomonadota;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__Oligoflexus;s__tunisiensis
2388;k__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;s__terrae
2404;k__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Orrella;s__dioscoreae
2419;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter;s__nicotinovorans
2421;k__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter;s__ureafaciens
2422;k__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__aceris
